code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,-0.01,3364.4275,3365.4974,3365.2426,3380.8898,3353.6876,198405184,2351.6023
000002,Ａ股指数,-0.01,3523.4326,3524.5692,3524.047,3540.588,3511.9573,197225774,2343.2212
000003,Ｂ股指数,2.32,347.8397,347.4385,355.5119,358.1359,347.8363,1179410,8.3811
000008,综合指数,-0.15,3094.46,3095.7496,3091.235,3109.0936,3080.6105,38120627,444.671
000009,上证380,0.27,5687.7353,5687.9143,5703.2781,5718.9187,5674.273,47909719,567.3178
000010,上证180,-0.06,8337.3962,8336.3224,8330.9507,8373.6883,8310.4847,74783199,864.8186
000011,基金指数,0.01,6138.6346,6140.2361,6140.6242,6152.4128,6132.002,20292624,283.69
000012,国债指数,-0.01,160.6059,160.5906,160.5736,160.6155,160.5437,268659,2.6789
000016,上证50,-0.19,2692.7975,2691.829,2686.6899,2701.5697,2681.4428,24471292,325.9954
000017,新综指,-0.01,2841.0304,2841.9474,2841.5261,2854.8707,2831.7725,197220541,2343.0191
000300,沪深300,-0.1,3830.0707,3829.8713,3825.9895,3843.0186,3813.9833,106036504,1349.5858
000905,中证500,0.24,6554.6011,6558.5963,6574.1826,6599.132,6537.0408,93851593,1209.1239
399001,深证成指,0.01,10961.698999999999,10969.127,10970.771999999999,11011.106000000002,10911.817,21933380162,3180.7218
399002,深成指R,0.02,13092.256000000001,13100.912,13103.091999999999,13151.266000000001,13032.678999999998,10387451970,1511.302
399003,成份Ｂ指,1.06,6166.611999999999,6167.774,6232.892,6249.51,6166.611999999999,12005928,0.9226
399004,深证100R,-0.08,5302.38,5304.446,5300.262,5319.835,5275.0,3563545003,606.7912
399005,中小板指,0.09,7437.106,7441.96,7448.771,7479.439,7405.246,2171460689,427.4531
399006,创业板指,-0.27,1888.395,1890.382,1885.274,1895.864,1872.912,1813896841,304.0165
399008,中小300,0.24,1515.773,1516.5639999999999,1520.1689999999999,1524.75,1510.8929999999998,5035343926,779.2752
399100,新 指 数,0.12,8793.167,8798.690999999999,8809.145,8833.541,8760.621,21667636788,3162.1258
399101,中小板综,0.29,11677.809,11683.003999999999,11716.69,11742.659,11648.589,9265947131,1378.1451
399106,深证综指,0.16,1971.168,1972.739,1975.869,1981.5220000000002,1964.8929999999998,21933380162,3180.7218
399107,深证Ａ指,0.16,2061.879,2063.527,2066.737,2072.726,2055.222,21884790729,3178.0476
399108,深证Ｂ指,1.09,1150.154,1150.337,1162.837,1166.586,1150.108,48589433,2.6741
399333,中小板R,0.09,8190.429,8195.774,8203.275,8237.05,8155.340999999999,2171460689,427.4531
399606,创业板R,-0.27,1966.922,1968.9920000000002,1963.671,1974.7020000000002,1950.796,1813896841,304.0165
